PARAGRAPH NUMBER	ENTITY TYPE	ENTITY	CO-OCCURRING NOUNS	CO-OCCURRING ADJECTIVES	CO-OCCURRING VERBS	VALENCE	AROUSAL	DOMINANCE	SENTENCE
65	PERSON	Tom Thumb	name		be	5.80666666667	3.43666666667	5.47666666667	"My name is Tom Thumb,
67	PERSON	King Arthur	shone			6.0	4.45	5.53	When King Arthur shone,
71	PERSON	Thomas Thumb	sir		do;hear	5.79	3.865	5.99	Did you never hear of Sir Thomas Thumb?"
73	PERSON	The queen	sir;honor;knight	saucy;enraged;little	be;resolve;pay;ruin;have;tell	5.50785714286	4.28785714286	5.67714285714	The queen was so enraged at the honor paid to Sir Thomas that she resolved to ruin him, and told the king that the little knight had been saucy to her.
73	PERSON	Thomas	sir;honor;knight	saucy;enraged;little	be;resolve;pay;ruin;have;tell	5.50785714286	4.28785714286	5.67714285714	The queen was so enraged at the honor paid to Sir Thomas that she resolved to ruin him, and told the king that the little knight had been saucy to her.
73	PERSON	the king	sir;honor;knight	saucy;enraged;little	be;resolve;pay;ruin;have;tell	5.50785714286	4.28785714286	5.67714285714	The queen was so enraged at the honor paid to Sir Thomas that she resolved to ruin him, and told the king that the little knight had been saucy to her.
74	LOCATION	the court	butterfly;watering-pot;tree;seat;field;nobility	poor;last	fly;be;return;drown;fall;catch;strive	5.52666666667	4.00944444444	5.135	The butterfly flew with him from tree to tree and from field to field, and at last returned to the court, where the king and nobility all strove to catch him; but at last poor Tom fell from his seat into a watering-pot, in which he was almost drowned.
74	PERSON	the king	butterfly;watering-pot;tree;seat;field;nobility	poor;last	fly;be;return;drown;fall;catch;strive	5.52666666667	4.00944444444	5.135	The butterfly flew with him from tree to tree and from field to field, and at last returned to the court, where the king and nobility all strove to catch him; but at last poor Tom fell from his seat into a watering-pot, in which he was almost drowned.
74	PERSON	Tom	butterfly;watering-pot;tree;seat;field;nobility	poor;last	fly;be;return;drown;fall;catch;strive	5.52666666667	4.00944444444	5.135	The butterfly flew with him from tree to tree and from field to field, and at last returned to the court, where the king and nobility all strove to catch him; but at last poor Tom fell from his seat into a watering-pot, in which he was almost drowned.
75	PERSON	the queen	mouse-trap;execution;time;rage		put;be;see;behead;say	5.05	4.48666666667	5.1525	When the queen saw him she was in a rage, and said he should be beheaded; and he was again put into a mouse-trap until the time of his execution.
76	PERSON	Thomas	trap;wire;something;liberty;cat	alive	break;set;observe;pat	5.49444444444	4.50555555556	5.60666666667	However, a cat, observing something alive in the trap, patted it about till the wires broke, and set Thomas at liberty.
77	PERSON	The king	breath;favor;s;spider;sword	large;poisonous;last	enjoy;do;draw;receive;attack;fight;live;overcome	5.4345	4.945	5.4455	The king received Tom again into favor, which he did not live to enjoy, for a large spider one day attacked him; and although he drew his sword and fought well, yet the spider"s poisonous breath at last overcame him;
77	PERSON	Tom	breath;favor;s;spider;sword	large;poisonous;last	enjoy;do;draw;receive;attack;fight;live;overcome	5.4345	4.945	5.4455	The king received Tom again into favor, which he did not live to enjoy, for a large spider one day attacked him; and although he drew his sword and fought well, yet the spider"s poisonous breath at last overcame him;
81	PERSON	King Thunstone	loss;court;mourning;epitaph;monument;marble;grave	little;fine;favorite;sorry;whole;white	go;be;raise;follow	5.22578947368	4.13105263158	5.21263157895	King Thunstone and his whole court were so sorry at the loss of their little favorite, that they went into mourning, and raised a fine white marble monument over his grave, with the following epitaph:
83	PERSON	Tom Thumb	knight;arthur;s		lye	5.22	4.395	5.3075	"Here lyes Tom Thumb, King Arthur"s knight,
83	PERSON	King	knight;arthur;s		lye	5.22	4.395	5.3075	"Here lyes Tom Thumb, King Arthur"s knight,
89	LOCATION	the court	mirth		fill	5.21666666667	4.57	5.83	Alive he filled the court with mirth;
92	PERSON	Tom Thumb		dead	be	4.60666666667	3.72666666667	4.65	Tom Thumb is dead!"
103	PERSON	the farmer	hay;milk;cow		go;say;get;give	5.91636363636	3.80090909091	5.69	"No," said the cow, "I will give you no milk, till you go to the farmer and get me some hay."
106	PERSON	the farmer			begin;come	6.07333333333	3.36333333333	5.92	Till she came to the farmer, and thus began,--
108	PERSON	the farmer	hay;ll;meat;butcher		go;say;fetch;give	5.785	4.246	5.514	"No," says the farmer, "I"ll give you no hay, till you go to the butcher and fetch me some meat."
128	LOCATION	the fire				5.115	4.93	5.255	But the fire would not.
137	LOCATION	the fire	water;woman;stile;fright;dog;butcher;cat;rope;rat;stick;ox;home;pig;milk	little;old	begin;gnaw;burn;get;quench;bite;drink;hang;jump;beat;kill;have;lap	5.39571428571	4.27020408163	5.34142857143	As soon as the cat had lapped up the milk, the cat began to kill the rat; the rat began to gnaw the rope; the rope began to hang the butcher; the butcher began to kill the ox; the ox began to drink the water; the water began to quench the fire; the fire began to burn the stick; the stick began to beat the dog; the dog began to bite the pig; the little pig in a fright jumped over the stile; and so the old woman got home that night.
137	LOCATION	the fire	water;woman;stile;fright;dog;butcher;cat;rope;rat;stick;ox;home;pig;milk	little;old	begin;gnaw;burn;get;quench;bite;drink;hang;jump;beat;kill;have;lap	5.39571428571	4.27020408163	5.34142857143	As soon as the cat had lapped up the milk, the cat began to kill the rat; the rat began to gnaw the rope; the rope began to hang the butcher; the butcher began to kill the ox; the ox began to drink the water; the water began to quench the fire; the fire began to burn the stick; the stick began to beat the dog; the dog began to bite the pig; the little pig in a fright jumped over the stile; and so the old woman got home that night.
